Query Strategy,actual_accuracy - estimated_accuracy,budget
Random,0.0714114607221984,100
Random,0.08020461072219842,100
Random,0.07282480072219855,100
Random,0.04995951072219851,100
Random,0.09981349072219847,100
Random,0.06783217072219838,100
Random,0.1132702207221985,100
Random,0.08235825072219838,100
Random,0.06306790072219859,100
Random,0.08120191072219851,100
Random,0.059984250722198484,200
Random,0.07113986072219847,200
Random,0.05228500072219855,200
Random,0.07278492072219855,200
Random,0.08089820072219844,200
Random,0.08553923072219849,200
Random,0.047919060722198425,200
Random,0.051338150722198495,200
Random,0.07381046072219855,200
Random,0.0186350707221985,200
Random,0.055050520722198404,300
Random,0.027374670722198458,300
Random,0.02798412072219858,300
Random,0.0551210007221985,300
Random,0.019176970722198483,300
Random,0.032812460722198566,300
Random,0.048935400722198485,300
Random,0.032093260722198425,300
Random,0.027866730722198474,300
Random,0.029556800722198462,300
Random,0.02883306072219849,400
Random,0.0282411607221984,400
Random,0.013291900722198435,400
Random,0.031907780722198464,400
Random,0.04238594072219848,400
Random,0.01696589072219845,400
Random,0.0432599807221985,400
Random,0.024173800722198435,400
Random,0.03714112072219855,400
Random,0.029876210722198482,400
Random,0.03229402072219845,500
Random,0.026531930722198394,500
Random,0.01446146072219856,500
Random,0.027148500722198543,500
Random,0.008822590722198376,500
Random,0.0281417307221985,500
Random,0.013324530722198524,500
Random,0.014941090722198402,500
Random,0.03600860072219858,500
Random,0.012861020722198413,500
Random,0.014221200722198457,600
Random,0.03285701072219849,600
Random,0.01995860072219846,600
Random,0.03525589072219859,600
Random,0.014653090722198447,600
Random,0.026048300722198436,600
Random,0.01928864072219838,600
Random,0.03478110072219842,600
Random,0.023148240722198565,600
Random,0.019297410722198483,600
Random,0.015143800722198453,700
Random,0.005428480722198481,700
Random,0.021224000722198433,700
Random,0.019768770722198514,700
Random,0.020109090722198464,700
Random,0.030180230722198442,700
Random,0.019743670722198514,700
Random,0.03146584072219849,700
Random,0.0160369607221984,700
Random,0.0184164407221985,700
Random,0.017681170722198436,800
Random,0.01481153072219854,800
Random,0.028541390722198412,800
Random,0.02167837072219847,800
Random,0.019269990722198482,800
Random,0.03428457072219848,800
Random,0.020024950722198454,800
Random,0.02065925072219854,800
Random,0.016698550722198502,800
Random,0.013338240722198469,800
Random,0.02950853072219839,900
Random,0.018429870722198594,900
Random,0.035336120722198605,900
Random,0.021761260722198528,900
Random,0.018400120722198543,900
Random,0.020872440722198515,900
Random,0.029378210722198483,900
Random,0.024690340722198556,900
Random,0.020488530722198472,900
Random,0.04152030072219837,900
Random,0.016770850722198416,1000
Random,0.018102740722198307,1000
Random,0.010147390722198502,1000
Random,0.020142600722198423,1000
Random,0.025046580722198453,1000
Random,0.01031619072219847,1000
Random,0.021145840722198606,1000
Random,0.014247290722198547,1000
Random,0.02245999072219851,1000
Random,0.022774520722198544,1000
LabelUncertainty,0.08181102072219859,100
LabelUncertainty,0.0374131007221985,100
LabelUncertainty,0.047377060722198494,100
LabelUncertainty,0.06535415072219852,100
LabelUncertainty,0.09132251072219844,100
LabelUncertainty,0.06112828072219845,100
LabelUncertainty,0.04752593072219857,100
LabelUncertainty,0.08785348072219856,100
LabelUncertainty,0.09116185072219851,100
LabelUncertainty,0.057073370722198535,100
LabelUncertainty,0.03277083072219844,200
LabelUncertainty,0.028726460722198532,200
LabelUncertainty,0.0336500907221986,200
LabelUncertainty,0.07798444072219846,200
LabelUncertainty,0.048668200722198574,200
LabelUncertainty,0.05154868072219854,200
LabelUncertainty,0.04651076072219851,200
LabelUncertainty,0.049797000722198614,200
LabelUncertainty,0.03590925072219853,200
LabelUncertainty,0.033522840722198466,200
LabelUncertainty,0.03325165072219838,300
LabelUncertainty,0.015088110722198511,300
LabelUncertainty,0.04500675072219851,300
LabelUncertainty,0.0324134307221986,300
LabelUncertainty,0.017932810722198544,300
LabelUncertainty,0.02172909072219842,300
LabelUncertainty,0.025124600722198465,300
LabelUncertainty,0.04246073072219847,300
LabelUncertainty,0.03078336072219845,300
LabelUncertainty,0.04629201072219857,300
LabelUncertainty,0.023503560722198613,400
LabelUncertainty,0.0031846707221984127,400
LabelUncertainty,0.03872822072219839,400
